No,Paket,Pagu (Rp),Jenis Pengadaan,Produk Dalam Negeri,Usaha Kecil/Koperasi,Metode,Pemilihan,K/L/PD,Satuan Kerja,Lokasi,ID
1,Pengadaan Alat/Bahan untuk Kegiatan Kantor-Bahan Komputer,3240800,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,BAGIAN KESEJAHTERAAN RAKYAT,"Sulawesi Selatan, Barru (Kab.)",64354683
2,Belanja Barang Persediaan Barang Konsumsi,6000000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Agraria dan Tata Ruang/BPN,Kantor Pertanahan KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",64454676
3,Belanja Barang Persediaan Barang Konsumsi,5000000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Agraria dan Tata Ruang/BPN,Kantor Pertanahan KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",64454681
4,Pengadaan Barang kebutuhan Penambah Daya Tahan Tubuh Pegawai Pada Rumah Tahanan Negara Kelas IIB Barru - Sulawesi Selatan Tahun Anggaran 2026,53399000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Imigrasi dan Pemasyarakatan,PAS23 RUTAN KELAS II B BARRU,"Sulawesi Selatan, Barru (Kab.)",62100733
5,Pengadaan jasa lainnya Langganan Telepon Pada Rumah Tahanan Negara Kelas IIB Barru - Sulawesi Selatan Tahun Anggaran 2026,756000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Imigrasi dan Pemasyarakatan,PAS23 RUTAN KELAS II B BARRU,"Sulawesi Selatan, Barru (Kab.)",64622130
6,Pengadaan jasa lainnya Langganan Listrik Pada Rumah Tahanan Negara Kelas IIB Barru - Sulawesi Selatan Tahun Anggaran 2026,162000000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Imigrasi dan Pemasyarakatan,PAS23 RUTAN KELAS II B BARRU,"Sulawesi Selatan, Barru (Kab.)",64622018
7,"Pengadaan Alat Tulis Kantor, Kertas dan Cover, dan Bahan Komputer pada Program Penunjang Urusan",3884800,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,"BADAN PERENCANAAN, PEMBANGUNAN, PENELITIAN DAN PENGEMBANGAN DAERAH","Sulawesi Selatan, Barru (Kab.)",63941365
8,Pengadaan Cetak Blanko Pemeriksaan CJH,1995000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,DINAS KESEHATAN,"Sulawesi Selatan, Barru (Kab.)",64102530
9,Pengadaan Makanan dan Minuman Rapat Vaksinisasi Meningitis,1940000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,DINAS KESEHATAN,"Sulawesi Selatan, Barru (Kab.)",64102531
10,Pengadaan Makanan dan Minuman Fasilitasi Kunjungan Tamu,2994000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,DINAS KESEHATAN,"Sulawesi Selatan, Barru (Kab.)",64357943
11,Pengadaan Alat/Bahan Rumah Tangga Kantor Penyediaan Peralatan Rumah Tangga,9683900,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,DINAS KESEHATAN,"Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.)",64285122
12,Belanja Modal Bangunan Kesehatan,15887940,Jasa Konsultansi,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kab. Barru,RUMAH SAKIT UMUM DAERAH LA PATARAI,"Sulawesi Selatan, Barru (Kab.)",63985288
13,Belanja Makanan Minuman Rapat,167156000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,RUMAH SAKIT UMUM DAERAH LA PATARAI,"Sulawesi Selatan, Barru (Kab.)",64660662
14,Belanja Makanan dan Minuman pada Fasilitas Pelayanan Urusan Kesehatan,2471779200,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,RUMAH SAKIT UMUM DAERAH LA PATARAI,"Sulawesi Selatan, Barru (Kab.)",64661447
15,Belanja Modal Alat Kantor Lainnya,203403265,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,RUMAH SAKIT UMUM DAERAH LA PATARAI,"Sulawesi Selatan, Barru (Kab.)",63984515
16,Belanja Modal Bangunan Kesehatan,529598000,Pekerjaan Konstruksi,Produk Dalam Negeri,Usaha Kecil/Koperasi,Tender,January 2026,Kab. Barru,RUMAH SAKIT UMUM DAERAH LA PATARAI,"Sulawesi Selatan, Barru (Kab.)",63984516
17,Pengadaan Air Mineral _Pengelolaan Mutasi ASN,550000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,"Sulawesi Selatan, Barru (Kab.)",64597602
