251,Pengawas,200000000,Jasa Konsultansi,Produk Dalam Negeri,Usaha Kecil/Koperasi,Penunjukan Langsung,April 2026,Mahkamah Agung,PENGADILAN NEGERI BARRU 01,"Sulawesi Selatan, Barru (Kab.)",62286801
252,Pengadaan Suku Cadang Kendaraan Roda 4,4000000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kab. Barru,BAGIAN PEREKONOMIAN DAN SDA,"Sulawesi Selatan, Barru (Kab.)",66853118
253,BBM,1251600,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,April 2026,Kab. Barru,PUSKESMAS RALLA,"Sulawesi Selatan, Barru (Kab.)",66174633
254,PMT Balita,9702000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,April 2026,Kab. Barru,PUSKESMAS RALLA,"Sulawesi Selatan, Barru (Kab.)",66175138
255,Ikan Banjar,64700,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,April 2026,Kab. Barru,PUSKESMAS RALLA,"Sulawesi Selatan, Barru (Kab.)",66175154
256,Map,4000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,April 2026,Kab. Barru,PUSKESMAS RALLA,"Sulawesi Selatan, Barru (Kab.)",66175447
257,Nasi,2964000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,April 2026,Kab. Barru,PUSKESMAS RALLA,"Sulawesi Selatan, Barru (Kab.)",66207279
258,Nasi,570000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,April 2026,Kab. Barru,PUSKESMAS RALLA,"Sulawesi Selatan, Barru (Kab.)",66207275
259,Jagung,8400,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,April 2026,Kab. Barru,PUSKESMAS RALLA,"Sulawesi Selatan, Barru (Kab.)",66175127
260,Tenaga Kontrak Dengan Perjanjian Kerja Museum,48000000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kab. Barru,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Sulawesi Selatan, Barru (Kab.)",66224462
261,Belanja Pemeliharaan Alat Kantor and Rumah Tangga-Alat Rumah Tangga-Alat Pendingin,1500000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,March 2026,Kab. Barru,KECAMATAN TANETE RIAJA,"Sulawesi Selatan, Barru (Kab.)",66361108
262,Konsumsi Pelatihan petugas pengolahan SBH 2027 di kabupaten/kota,1665000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,June 2026,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB BONE,"Sulawesi Selatan, Barru (Kab.)",66323681
263,paket data Survei Harga Perdagangan Besar,50000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,February 2026,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB BONE,"Sulawesi Selatan, Barru (Kab.)",66323682
264,Pengadaan Belanja Alat/Bahan Alat Tulis Kantor penatausaaan barang,527700,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kab. Barru,BAGIAN UMUM,"Sulawesi Selatan, Barru (Kab.)",66639413
